loss,acc
0.004629485607147217,8.0
0.003897839307785034,28.0
0.0038230195045471193,29.0
0.003847439765930176,33.0
0.003799063205718994,34.0
0.0036705007553100586,35.0
0.0037272565364837645,33.0
0.0036593191623687745,38.0
0.0036567568778991697,36.0
0.003700056791305542,38.0
0.0037150135040283205,34.0
0.0035998542308807373,39.0
0.0036406567096710207,35.0
0.0035851688385009767,38.0
0.003604832172393799,37.0
0.0034549007415771485,40.0
0.003571169376373291,39.0
0.003519007682800293,39.0
0.0034747283458709715,37.0
0.003509895086288452,35.0
0.0035483520030975342,39.0
0.0035637853145599366,41.0
0.003593949794769287,36.0
0.0035338547229766845,40.0
0.0035907752513885498,36.0
0.0035922653675079345,37.0
0.0033650567531585693,37.0
0.0035166308879852294,38.0
0.0035352480411529543,40.0
0.0035073800086975098,40.0
0.003504667282104492,38.0
0.0034718551635742187,40.0
0.003508357048034668,38.0
0.003496172904968262,39.0
0.003444798231124878,36.0
0.003607282638549805,37.0
0.0035657358169555666,38.0
0.0033556549549102785,40.0
0.0035438971519470217,36.0
0.003319982051849365,39.0
0.0035441935062408446,36.0
0.0034842803478240965,43.0
0.003513577461242676,37.0
0.003585090637207031,39.0
0.0035449447631835935,40.0
0.0034434642791748046,38.0
0.003494241714477539,38.0
0.003556854009628296,39.0
0.0034342007637023927,39.0
0.0035176694393157957,39.0
0.0034207401275634765,40.0
0.0035236186981201173,39.0
0.0034346909523010256,36.0
0.0034571123123168946,38.0
0.0034538891315460205,42.0
0.003536872863769531,39.0
0.0035009050369262697,37.0
0.003507700443267822,37.0
0.003432260513305664,43.0
0.003328340530395508,40.0
0.0034568843841552735,37.0
0.0036429877281188966,38.0
0.003416797399520874,41.0
0.0034310927391052247,36.0
0.0035972418785095214,37.0
0.0033036332130432127,41.0
0.0034383935928344726,41.0
0.0035620379447937013,36.0
0.0034649591445922853,37.0
0.003453887939453125,40.0
0.0035418195724487306,35.0
0.003500716209411621,41.0
0.0035083959102630616,36.0
0.003510118007659912,37.0
0.003530771732330322,40.0
0.0034087281227111817,42.0
0.0034718682765960693,42.0
0.0035232524871826173,38.0
0.0033922665119171143,40.0
0.0033237972259521483,44.0
0.0035493993759155274,36.0
0.0034318103790283204,43.0
0.0033621208667755126,40.0
0.0035098199844360353,40.0
0.003496476650238037,40.0
0.0035003433227539064,39.0
0.003627204656600952,36.0
0.0035001757144927977,38.0
0.0034891717433929445,38.0
0.003415118455886841,43.0
0.0034930434226989747,39.0
0.003388991117477417,41.0
0.0035064599514007568,38.0
0.0033808934688568117,41.0
0.003380232334136963,42.0
0.003492267370223999,40.0
0.0034058585166931153,42.0
0.0034307198524475098,41.0
0.0034193053245544433,38.0
0.0033447089195251466,43.0
