loss,acc
0.004636242866516114,11.0
0.003854811429977417,31.0
0.0035786826610565187,38.0
0.0034270641803741454,35.0
0.00320419979095459,40.0
0.0031638529300689697,45.0
0.0030051562786102297,48.0
0.0031385297775268555,44.0
0.0029494051933288573,46.0
0.0027840750217437743,48.0
0.0026980936527252197,49.0
0.002561192274093628,54.0
0.002528853178024292,55.0
0.0024937911033630373,49.0
0.0022996764183044432,53.0
0.0023482513427734377,57.0
0.0020987305641174316,59.0
0.00216426157951355,62.0
0.0020489113330841064,64.0
0.0019226380586624145,66.0
0.0019979363679885863,59.0
0.0018584805727005005,66.0
0.0018149974346160888,68.0
0.0015619101524353028,72.0
0.001712705373764038,68.0
0.0017100210189819336,65.0
0.0014970501661300659,72.0
0.001390113115310669,72.0
0.0015472209453582764,71.0
0.0013841549158096313,74.0
0.001253097891807556,76.0
0.0012716283798217772,81.0
0.0013389413356781005,76.0
0.0012017117738723755,78.0
0.001339676022529602,77.0
0.001175929069519043,77.0
0.0010422921180725097,79.0
0.0009968928694725036,83.0
0.0013093491792678833,75.0
0.001165583848953247,77.0
0.000938733696937561,81.0
0.001253534436225891,79.0
0.0008106698393821716,86.0
0.0009011414051055908,85.0
0.0009123628735542297,82.0
0.0008450844287872315,83.0
0.0007734933495521546,86.0
0.0010423719882965087,75.0
0.0010221976041793824,80.0
0.0008452160358428955,82.0
0.0006299889683723449,87.0
0.0007911729216575623,94.0
0.0007158008813858033,86.0
0.0006653506755828857,87.0
0.0007072773575782776,86.0
0.0006229572296142578,87.0
0.0007779574394226074,89.0
0.0006391133666038513,90.0
0.0006144049763679504,89.0
0.0005475674271583557,89.0
0.0006102580428123474,92.0
0.0006812211871147156,85.0
0.0006367817521095275,92.0
0.0005482408404350281,93.0
0.0006280101537704468,91.0
0.0006014268398284912,90.0
0.0006509529948234558,90.0
0.00040572968125343324,95.0
0.0004905385971069336,92.0
0.0005596364736557007,95.0
0.000421319305896759,91.0
0.0006826898455619812,87.0
0.0005733203291893005,90.0
0.00038231369853019713,95.0
0.0006502231359481811,87.0
0.00042707780003547666,92.0
0.0005423989295959472,89.0
0.0005468367934226989,91.0
0.0005335974097251892,93.0
0.0004770043194293976,89.0
0.0003960320949554443,91.0
0.0006606199145317077,88.0
0.0004892638325691223,93.0
0.0003621777594089508,95.0
0.0006378713846206665,90.0
0.0003466271460056305,94.0
0.0003524601757526398,92.0
0.00025796496868133546,98.0
0.0003162527978420258,93.0
0.0004359057247638702,92.0
0.0004149383902549744,92.0
0.0004442067742347717,92.0
0.00027903294563293455,96.0
0.0004216184914112091,94.0
0.0003334590196609497,95.0
0.0006120492815971375,90.0
0.0004743556082248688,94.0
0.0002624814510345459,98.0
0.0002448159009218216,94.0
0.0005204256176948547,89.0
