loss,acc
1.4191634176969528,58.0
0.9303606615066529,68.0
0.7517217598557472,70.0
0.6417590771317482,75.0
0.5725812792778016,81.0
0.5139391184449196,82.0
0.4603998821079731,84.0
0.4251912769377232,87.0
0.3890338473021984,86.0
0.3563795375823975,87.0
0.328564534753561,83.0
0.300510950088501,93.0
0.2830255956351757,92.0
0.25990153568983076,96.0
0.24173395900428296,90.0
0.22070872996747493,90.0
0.21064119312167168,93.0
0.19605359072983264,94.0
0.18829016867280007,96.0
0.17217176394164563,90.0
0.16560876812040806,93.0
0.16190139842033385,97.0
0.14738202841579914,99.0
0.14068869354203342,98.0
0.13498492760211228,94.0
0.12905731043219568,93.0
0.12201984880492091,90.0
0.11569909107685089,98.0
0.11617995842546225,95.0
0.11388487143069506,95.0
0.10518779866024852,96.0
0.10495060968026519,95.0
0.1021226189751178,96.0
0.10168068559467792,98.0
0.09360527459718287,97.0
0.0915552033316344,97.0
0.09063967365492136,100.0
0.08814502510428429,98.0
0.08871568757109344,97.0
0.07966960060968994,98.0
0.08134729912690818,97.0
0.07810831645410508,99.0
0.0790370015501976,99.0
0.0796218333998695,98.0
0.07020512660220266,99.0
0.07712816651072353,97.0
0.07299640642479062,97.0
0.06915583517588675,98.0
0.07163539480045437,99.0
0.06792327037616633,98.0
0.06797725083678961,99.0
0.0644256034027785,100.0
0.06734196813544259,94.0
0.061815497104078534,99.0
0.06309098831191659,97.0
0.05969931799382903,99.0
0.05906775093264878,99.0
0.06110333099961281,94.0
0.060597227812744674,99.0
0.057855888782534746,100.0
0.05925793994171545,99.0
0.05483722342317924,99.0
0.06047079322347417,100.0
0.05262735104421154,96.0
0.051744371215812865,98.0
0.05240265870001167,99.0
0.05453262611059472,99.0
0.051840988683048636,99.0
0.05212667345441878,98.0
0.052551202985458075,100.0
0.053205757720861585,96.0
0.05057976031117141,98.0
0.04783656161557883,100.0
0.04654989595268853,97.0
0.05139992068288848,100.0
0.05087691065412946,100.0
0.0496060908199288,99.0
0.044582839929498734,98.0
0.04550051341066137,96.0
0.04779601026745513,98.0
0.04668578103440814,97.0
0.04937402690085582,100.0
0.04347063216543756,99.0
0.04126807585731149,99.0
0.0418384143600706,98.0
0.04479027660016436,100.0
0.047257982674986126,97.0
0.04384699580864981,98.0
0.041241813680157065,99.0
0.04290745167841669,99.0
0.04054977885261178,99.0
0.03986120494711213,98.0
0.03870734107354656,98.0
0.04091610754909925,98.0
0.042503555095172486,99.0
0.040084057650645266,97.0
0.03866692229371983,99.0
0.03874437382665928,99.0
0.041798882380127904,97.0
0.03364452580315992,97.0
