loss,acc
0.0046473126411437984,7.0
0.0038870820999145506,24.0
0.003762871026992798,30.0
0.00357585072517395,40.0
0.003517118453979492,39.0
0.0033383150100708006,45.0
0.003278787851333618,47.0
0.0031587283611297606,43.0
0.00321520471572876,41.0
0.003068225383758545,45.0
0.0031420581340789793,46.0
0.0029872684478759767,47.0
0.0030221261978149415,46.0
0.002898021221160889,48.0
0.0030159502029418945,43.0
0.0029358093738555907,44.0
0.0029486062526702882,47.0
0.0029355199337005615,50.0
0.0029474353790283204,44.0
0.0027650463581085204,50.0
0.0028675413131713868,48.0
0.002669081211090088,54.0
0.002613928556442261,53.0
0.0027583203315734864,51.0
0.0026368017196655275,51.0
0.0026302738189697265,51.0
0.0025831615924835206,53.0
0.0025506029129028322,55.0
0.0026061229705810545,48.0
0.0025396208763122556,52.0
0.0024105935096740724,53.0
0.0025096406936645508,56.0
0.002475372076034546,53.0
0.0024286653995513915,56.0
0.0023866949081420897,53.0
0.0023893907070159912,58.0
0.002455517053604126,55.0
0.002288740158081055,60.0
0.00228173828125,62.0
0.0022518327236175535,62.0
0.002180844783782959,62.0
0.002224658250808716,62.0
0.0022453877925872803,64.0
0.0021719319820404054,64.0
0.0021934971809387206,63.0
0.002119149684906006,66.0
0.0020023214817047118,69.0
0.0019834731817245485,69.0
0.002096456050872803,66.0
0.001959203362464905,69.0
0.002001255989074707,65.0
0.0020416858196258543,67.0
0.0019912714958190917,67.0
0.0019147876501083374,69.0
0.0020602834224700928,68.0
0.0019488145112991333,69.0
0.002021962642669678,65.0
0.001953646183013916,70.0
0.0018627749681472778,68.0
0.0019330461025238038,69.0
0.0019028947353363038,69.0
0.0017456583976745606,73.0
0.0018864021301269532,66.0
0.0019111367464065552,66.0
0.00181241774559021,71.0
0.001718816876411438,70.0
0.001831357479095459,72.0
0.001797019362449646,70.0
0.0018269802331924438,68.0
0.0017242317199707032,70.0
0.0018741056919097901,66.0
0.0017768311500549316,68.0
0.0017351897954940795,67.0
0.001625043749809265,70.0
0.0019109771251678467,67.0
0.001748926043510437,70.0
0.0016492114067077636,73.0
0.0015129603147506713,71.0
0.001824058175086975,64.0
0.001529490351676941,73.0
0.0015084348917007446,72.0
0.0017708665132522582,69.0
0.001572135329246521,70.0
0.0016140336990356444,71.0
0.001489113450050354,73.0
0.0016306214332580567,68.0
0.0015975027084350587,71.0
0.001607162594795227,68.0
0.001587663173675537,69.0
0.0016386578083038331,67.0
0.0014621078968048095,77.0
0.001492761492729187,74.0
0.0015087144374847411,70.0
0.0015335420370101928,69.0
0.0015284384489059448,72.0
0.0014715635776519776,75.0
0.001400058150291443,73.0
0.0014896190166473389,70.0
0.0012869495153427124,72.0
0.0013711868524551392,76.0
